cognateset_ids,n_cognatesets,root_forms,root_languages
4121 | 8369,2,γαστήρ / gastḗr | *grā̆smen-,Greek: Ancient | Proto-Italic
4072 | 4368,2,*bend- | *bend-,Proto-Indo-European | Proto-Indo-European
3856 | 6408,2,shkoj | shkoj,Albanian | Albanian: Standard
2497 | 3836,2,*bʰu̯eh₂- | *bʰu̯eh₂-,Proto-Indo-European | (Nuristani)
3614 | 4622,2,*raza- | *raza-,Proto-Iranic | Proto-Iranic
3603 | 9115,2,baš | nebaš,Kurdish N.: Bahdini | Kurdish N.: Bahdini
3501 | 5109,2,*su̯eh₂d- | *su̯eh₂d-,Proto-Indo-European | Proto-Indo-European
1022 | 3398,2,nan | nan,nan | nan
3381 | 8707,2,*bʰerg̑ʰ- | *bʰerg̑ʰ-,Proto-Indo-European | Proto-Indo-European
636 | 3343,2,*h₂eg̑- | nan,Proto-Indo-European | nan
365 | 367,2,fryj | frymë,Albanian | Albanian
340 | 1442,2,*wīda- | *wīda-,Proto-Germanic | Proto-Germanic
338 | 1133,2,*k̑u̯ei̯t- | *k̑u̯ei̯t-,Proto-Indo-European | Proto-Indo-European
332 | 6948,2,*hlaupan- | *hlaupan-,Proto-Germanic | Proto-Germanic
314 | 1700,2,*seh₂-u̯l̥- | *seh₂-u̯l̥-,Proto-Indo-European | Proto-Indo-European
3324 | 5401,2,*maninkuu̯a- | *maninkuu̯a-,Hittite | Hittite
4907 | 5074,2,*tʰalak⁽ʰ⁾i̯a | *tʰalak⁽ʰ⁾i̯a,Proto-Greek | Proto-Greek
1463 | 4901,2,κρύος / krýos | κρύσταλλος / krýstallos,Greek: Ancient | Greek: Ancient
4828 | 4833,2,*kerH- | *kerH-,Proto-Indo-European | Proto-Indo-European
4594 | 6094,2,pipīlá- | pipīlá-,Vedic | Vedic
4586 | 7356,2,*goḍḍa- | *goḍḍa-,Indic | Indic
4585 | 9945,2,nan | nan,nan | nan
4508 | 6878,2,*bʰeu̯dʰ- | *bât-,Proto-Indo-European | Nuristani
1017 | 4366,2,ponnher | nan,Middle Breton | nan
885 | 4365,2,uiridis | nan,Latin | nan
4150 | 8735,2,dhūli- | dhūli-,Sanskrit | Sanskrit
115 | 308,2,*(s)tei̯g- | nan,Proto-Indo-European | nan
291 | 7034,2,*(s)kerbʰ- | *(s)kerbʰ-,Proto-Indo-European | Proto-Indo-European
283 | 5157,2,*sal- | *sal-,Proto-Indo-European | Proto-Indo-European
250 | 287,2,*mor-i- | *mor-i-,Proto-Indo-European | Proto-Indo-European
248 | 2708,2,*drepan- | *drepan-,Proto-Germanic | Proto-Germanic
4125 | 7302,2,*tu̯erk̑- | *tu̯erk̑- ,Proto-Indo-European | Proto-Indo-European
5432 | 8365,2,*⁽g̑⁾ʰeh₁- | *⁽g̑⁾ʰeh₁-,Proto-Indo-European | Proto-Indo-European
5339 | 6254,2,ὀξύς / oxýs | ὀξύς / oxýs,Greek: Ancient | Greek: Ancient
1526 | 5313,2,*drem- | nan,Proto-Indo-European | nan
5271 | 6693,2,*h₃reu̯k- | *h₃reu̯k-,Proto-Indo-European | Proto-Indo-European
5265 | 6774,2,*gʷeh₂- | *gʷeh₂-,Proto-Indo-European | Proto-Indo-European
1375 | 5228,2,*klawō- | *klawō-,Proto-Germanic | Proto-Germanic
880 | 5115,2,uolāre | *gʷelh₁-,Latin | Proto-Indo-European
5113 | 5453,2,*kers- | *kers-,Proto-Indo-European | Proto-Indo-European
4987 | 6014,2,*kond- | *kond-,Proto-Balto-Slavic | Proto-Balto-Slavic
4966 | 5214,2,*terkʷ- | *terkʷ-,Proto-Indo-European | Proto-Indo-European
2152 | 4951,2,*terh₁- | *terh₁-,Proto-Indo-European | Proto-Indo-European
201 | 2305,2,*dʰeu̯- | *dʰeu̯-,Proto-Indo-European | Proto-Indo-European
193 | 2502,2,*brinnan- | *branda-,Proto-Germanic | Proto-Germanic
188 | 4865,2,*su̯ord-o- | *su̯ord-o-,Proto-Indo-European | Proto-Indo-European
4934 | 4941,2,nan | nan,nan | Brythonic
3390 | 4918,2,*gu̯osd-  | *gu̯osd-,Proto-Indo-European | Proto-Indo-European
6145 | 6146,2,*(s)legh₂- | *(s)legh₂-,Proto-Indo-European | Proto-Indo-European
6111 | 8198,2,*pei̯s- | *pei̯s-,Proto-Indo-European | Proto-Indo-European
6110 | 8487,2,kapā́la- | kapā́la-,Vedic | Vedic
856 | 6057,2,*h₂eu̯-i- | *h₂eu̯-i-,Proto-Indo-European | Proto-Indo-European
6013 | 6249,2,*tu̯er- | *tu̯er-,Proto-Indo-European | Proto-Indo-European
5920 | 6458,2,*k̑erd- | *k̑erd-,Proto-Indo-European | Proto-Indo-European
2189 | 5845,2,*bʰes-  | bhasma,Proto-Indo-European | Sanskrit
5834 | 6206,2,ἀληθής / alēthḗs | ἀληθής / alēthḗs,Greek: Ancient | Greek: Ancient
5738 | 7952,2,[برف / barf] | [برف / barf],[Persian] | [Persian]
2200 | 5445,2,*kaʦo | *kaʦay,Proto-Tocharian | Proto-Tocharian
5435 | 5982,2,*(h₁)reu̯g̑- | *(h₁)reu̯g-,Proto-Indo-European | Proto-Indo-European
178 | 2492,2,*h₂eh₁s- | *h₂eh₁s-,Proto-Indo-European | Proto-Indo-European
132 | 2978,2,nan | lakuṭa-,nan | Sanskrit
127 | 1940,2,*kʷi- | nan,nan | nan
119 | 5867,2,πέσκος / péskos | πέσκος / péskos,Greek: Ancient | Greek: Ancient
108 | 5054,2,*Sikatā- | *Sikatā-,Proto-Indo-Iranic | Proto-Indo-Iranic
44 | 6732,2,"*kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur- | *kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur-",Proto-Indo-European | Proto-Indo-European
6710 | 9568,2,boreās | boreās,Latin | Latin
9474 | 9515,2,*skambha- | *skambha-,Indic | Indic
9470 | 9577,2,*h₁rei̯p- | *h₁rei̯p-,Proto-Indo-European | Proto-Indo-European
9445 | 9512,2,*lei̯kʷ- | *lei̯kʷ-,Proto-Indo-European | Proto-Indo-European
1290 | 9428,2,*gʷeh₁dʰ- | *gʷeh₁dʰ-,Proto-Indo-European | Proto-Indo-European
8535 | 8536,2,shalja | shalja,Albanian: Arbëresh | Albanian: Arbëresh
2103 | 8303,2,*dampa- | *dampa-,Proto-Germanic | Proto-Germanic
8286 | 8530,2,mjegull | negja,Albanian | Albanian: Arbëresh
8248 | 8249,2,*mannan- | *mannan-,Proto-Germanic | Proto-Germanic
8233 | 9337,2,?*u̯reh₂d- | ?*u̯reh₂d-,Proto-Indo-European | Proto-Indo-European
8223 | 9362,2,*i̯et- | *i̯et-,Proto-Indo-European | Proto-Indo-European
6903 | 9443,2,*per- | *per-,Proto-Indo-European | Proto-Indo-European
1625 | 6861,2,*ullaṭ- | *kas-/*ka-,Indic | Indic
2706 | 6852,2,sit | sit,Latvian | Latvian
6836 | 7381,2,*u̯ar- | *u̯ar-,Proto-Indo-Iranic | Proto-Indo-Iranic
7 | 4524,2,*mr̥gá- | *mr̥gá- ,Proto-Indo-Iranic | Proto-Indo-Iranic
3042 | 7753,2,*kyta-,Proto-Slavic
7742 | 9279,2,*u̯elh₁- | *u̯elh₁-,Proto-Indo-European | Proto-Indo-European
1153 | 7649,2,*dʰrebʰ- | *dʰrebʰ-,Proto-Indo-European | Proto-Indo-European
267 | 7633,2,*(H)nā̆s- | *(H)nā̆s-,Proto-Indo-European | Proto-Indo-European
4006 | 7588,2,*kʷek̑- | *kʷek̑-,Proto-Indo-European | Proto-Indo-European
753 | 7564,2,vaḍḍa- | *Hu̯aRdʱ-,Middle Indic | Proto-Indo-Iranic
1682 | 7508,2,muṭati | nan,Sanskrit | nan
7493 | 8388,2,*deh₂u̯- | *deh₂u̯-,Proto-Indo-European | Proto-Indo-European
1560 | 7478,2,*pent- | *pent-,Proto-Indo-European | nan
323 | 7472,2,"*só- ~ *tó- | *h₁í-, *h₁ei̯-, *h₁i̯ó- ",Proto-Indo-European | Proto-Indo-European
6655 | 7468,2,*(H)i̯eh₂- | *(H)i̯eh₂-,Proto-Indo-European | Proto-Indo-European
7345 | 9431,2,*per- | *per-,Proto-Indo-European | Proto-Indo-European
768 | 7236,2,*kárna- | *kárna-,Proto-Indo-Iranic | Proto-Indo-Iranic
7057 | 9518,2,*seg- | *seg-,Proto-Indo-European | Proto-Indo-European
6957 | 8346,2,*bʰelg̑ʰ- | *bʰelg̑ʰ-,Proto-Indo-European | Proto-Indo-European
