cognateset_ids,n_cognatesets,root_forms,root_languages
660 | 2839 | 5027 | 5330 | 5824 | 5909,6,*dʰerg̑ʰ- | *dʰre⁽g̑⁾ʰ- | *dʰre⁽g̑⁾ʰ- | *dʰre⁽g̑⁾ʰ- | *dʰre⁽g̑⁾ʰ- | *dʰre⁽g̑⁾ʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1626 | 3185 | 4906 | 5879 | 6487 | 7117,6,*kʷelh₁- | *kʷelh₁- | *kʷelh₁- | *kʷelh₁- | *kʷelh₁- | *kʷelh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1576 | 2337 | 2411 | 3832 | 6332 | 7535,6,*g̑elh₃- | *g̑ʰelh₃- | *g̑ʰelh₃- | *g̑ʰelh₃- | *g̑ʰelh₃- | *g̑ʰelh₃-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1231 | 1252 | 2268 | 3194 | 5097 | 7424,6,*h₃neg⁽ʷ⁾ʰ- | *h₃neg⁽ʷ⁾ʰ- | *h₃neg⁽ʷ⁾ʰ- | *h₃neg⁽ʷ⁾ʰ- | *h₃neg⁽ʷ⁾ʰ- | *h₃neg⁽ʷ⁾ʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
18 | 712 | 788 | 2322 | 2371 | 2972,6,*mer- | *mer- | *mer- | *mer- | *mer- | nan,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan
1 | 447 | 567 | 2534 | 2562 | 4861,6,nan | një | nan | *h₁epi | *kʷo- | nan,nan | Albanian | nan | Proto-Indo-European | nan | nan
384 | 907 | 1039 | 1175 | 2729,5,"*dʰég̑ʰ-om-, *dʰg̑ʰ-ém-, *dʰg̑ʰ-m- | *dʰég̑ʰ-om-, *dʰg̑ʰ-ém-, *dʰg̑ʰ-m- | *dʰég̑ʰ-om-, *dʰg̑ʰ-ém-, *dʰg̑ʰ-m- | *dʰég̑ʰ-om-, *dʰg̑ʰ-ém-, *dʰg̑ʰ-m- | nan",Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan
335 | 631 | 730 | 1335 | 1370,5,*u̯ed- | *u̯ed- | *u̯ed- | *u̯ed- | *u̯ed-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
348 | 1380 | 1388 | 8254 | 9776,5,*u̯r̥mi- | *u̯r̥mi- | nan | *u̯r̥mi- | *u̯r̥mi-,Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European
3240 | 3249 | 5021 | 9848 | 9849,5,*kʷi̯eu̯- | *kʷi̯eu̯- | *kʷi̯eu̯- | *kʷi̯eu̯-  | nan,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan
187 | 935 | 2894 | 3146 | 5262,5,*bʰei̯d- | *bʰei̯d- | *bʰei̯d- | nan | *bʰei̯d-,Proto-Indo-European | nan | Proto-Indo-European | nan | Proto-Indo-European
3212 | 6617 | 7465 | 9975 | 9976,5,*terh₂- | *terh₂- | *terh₂- | *terh₂- | *terh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo European | Proto-Indo European | Proto-Indo European
5058 | 5149 | 5209 | 6211 | 7189,5,*s⁽k̑⁾eH- | *těn- | *stěn- | *s⁽k̑⁾eH- | *s⁽k̑⁾eH-,Proto-Indo-European | Proto-Slavic | Proto-Slavic | Proto-Indo-European | Proto-Indo-European
